block,first_page,last_page,offset,ff_pct,zero_pct,unique,entropy,dominant,dominant_pct,mixed_ff00_pct,abnormal_pages,erased_pages,zero_pages,reasons
185,11840,11903,24248320,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
186,11904,11967,24379392,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
187,11968,12031,24510464,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
188,12032,12095,24641536,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
189,12096,12159,24772608,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
190,12160,12223,24903680,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
191,12224,12287,25034752,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
192,12288,12351,25165824,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
193,12352,12415,25296896,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
194,12416,12479,25427968,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
195,12480,12543,25559040,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
196,12544,12607,25690112,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
197,12608,12671,25821184,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
198,12672,12735,25952256,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
199,12736,12799,26083328,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
200,12800,12863,26214400,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
201,12864,12927,26345472,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
202,12928,12991,26476544,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
203,12992,13055,26607616,100.0,0.0,1,0.0,255,100.0,100.0,64,64,0,ALL_FF
204,13056,13119,26738688,0.40435791015625,0.5859375,256,7.998127150828902,0,0.5859375,0.99029541015625,64,0,0,MANY_ABNORMAL_PAGES
205,13120,13183,26869760,0.383758544921875,0.384521484375,256,7.998596208542712,210,0.449371337890625,0.768280029296875,64,0,0,MANY_ABNORMAL_PAGES
206,13184,13247,27000832,0.382232666015625,0.35400390625,256,7.9985274327415254,69,0.443267822265625,0.736236572265625,64,0,0,MANY_ABNORMAL_PAGES
207,13248,13311,27131904,0.408172607421875,0.380706787109375,256,7.998672127119255,236,0.429534912109375,0.78887939453125,64,0,0,MANY_ABNORMAL_PAGES
