block,first_page,last_page,offset,ff,ff_pct,zero,zero_pct,unique,entropy,dominant,dominant_count,dominant_pct,mixed_ff00_pct,all_ff,all_zero,abnormal_pages,erased_pages,zero_pages,abnormal,reasons
34,2176,2239,4456448,525,0.400543212890625,472,0.360107421875,256,7.998492260870116,127,580,0.4425048828125,0.760650634765625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
35,2240,2303,4587520,559,0.426483154296875,587,0.447845458984375,256,7.99819927273057,0,587,0.447845458984375,0.87432861328125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
36,2304,2367,4718592,549,0.418853759765625,551,0.420379638671875,256,7.9985459078067045,206,577,0.440216064453125,0.8392333984375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
37,2368,2431,4849664,523,0.399017333984375,586,0.44708251953125,256,7.998605522061614,0,586,0.44708251953125,0.846099853515625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
38,2432,2495,4980736,534,0.40740966796875,596,0.4547119140625,256,7.99861767798064,0,596,0.4547119140625,0.86212158203125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
39,2496,2559,5111808,465,0.354766845703125,534,0.40740966796875,256,7.998375650824623,239,586,0.44708251953125,0.762176513671875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
40,2560,2623,5242880,502,0.38299560546875,536,0.408935546875,256,7.998717747922016,197,595,0.453948974609375,0.79193115234375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
41,2624,2687,5373952,500,0.3814697265625,475,0.362396240234375,256,7.998617802697206,185,580,0.4425048828125,0.743865966796875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
42,2688,2751,5505024,553,0.421905517578125,505,0.385284423828125,256,7.9986656746125,198,590,0.45013427734375,0.80718994140625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
43,2752,2815,5636096,492,0.3753662109375,496,0.37841796875,256,7.998563168408325,85,565,0.431060791015625,0.7537841796875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
44,2816,2879,5767168,526,0.40130615234375,544,0.4150390625,256,7.9986821105236015,143,576,0.439453125,0.81634521484375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
45,2880,2943,5898240,514,0.39215087890625,481,0.366973876953125,256,7.998689030331428,129,578,0.44097900390625,0.759124755859375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
46,2944,3007,6029312,542,0.41351318359375,571,0.435638427734375,256,7.998664618929449,0,571,0.435638427734375,0.849151611328125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
